L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.206997,-1.9118,-0.602514,-0.680749,0.511549,-28.5732
0.20445,-1.9139,-0.59991,-0.680464,0.509606,-28.5689
0.20224,-1.91633,-0.595103,-0.680914,0.508161,-28.5652
0.200343,-1.91906,-0.58824,-0.682337,0.507324,-28.5625
0.198713,-1.92203,-0.57958,-0.684984,0.50719,-28.5612
0.197286,-1.92516,-0.569421,-0.689091,0.507811,-28.5618
0.195996,-1.92843,-0.558098,-0.694871,0.509191,-28.5648
0.19476,-1.93176,-0.546003,-0.702518,0.511289,-28.5706
0.193515,-1.93513,-0.5335,-0.712197,0.514016,-28.5798
0.19218,-1.93848,-0.521001,-0.724056,0.517286,-28.5927
0.190696,-1.94178,-0.5089,-0.738213,0.520967,-28.6098
0.189015,-1.94501,-0.497587,-0.754762,0.524943,-28.6314
0.187117,-1.94816,-0.48738,-0.773758,0.529106,-28.6577
0.184996,-1.95121,-0.478579,-0.795205,0.53335,-28.6889
0.182688,-1.95417,-0.471361,-0.819048,0.537592,-28.7251
0.180259,-1.95704,-0.46579,-0.84515,0.541744,-28.7661
0.177794,-1.95978,-0.461886,-0.873285,0.545744,-28.8117
0.175405,-1.96241,-0.459509,-0.903144,0.549536,-28.8613
0.17317,-1.96486,-0.458611,-0.93433,0.553088,-28.9142
0.171189,-1.96712,-0.459041,-0.966335,0.556362,-28.9696
0.169528,-1.96911,-0.460657,-0.998623,0.559345,-29.0265
0.168242,-1.9708,-0.463306,-1.03059,0.562022,-29.0838
0.167365,-1.97215,-0.466818,-1.0616,0.564414,-29.1402
0.166915,-1.97315,-0.471004,-1.09108,0.566525,-29.1946
0.166898,-1.97381,-0.475658,-1.11849,0.568396,-29.246
0.167282,-1.97414,-0.480614,-1.14337,0.570056,-29.2935
0.168052,-1.97422,-0.485659,-1.16539,0.571558,-29.3363
0.169157,-1.97406,-0.490672,-1.18433,0.572936,-29.374
0.170563,-1.97375,-0.495486,-1.20011,0.574237,-29.4063
0.172227,-1.97332,-0.500011,-1.21277,0.5755,-29.4332
0.174108,-1.9728,-0.504152,-1.22244,0.576756,-29.455
0.176163,-1.97224,-0.507855,-1.22936,0.578028,-29.472
0.178355,-1.97169,-0.511108,-1.23384,0.579325,-29.4848
0.180633,-1.97119,-0.513897,-1.23622,0.580629,-29.4939
0.18294,-1.97077,-0.516282,-1.23689,0.581937,-29.5001
0.185224,-1.97048,-0.518309,-1.23624,0.583218,-29.504
0.187415,-1.97034,-0.520061,-1.23466,0.584448,-29.5064
0.189473,-1.97036,-0.521559,-1.2325,0.585606,-29.5078
0.191363,-1.97055,-0.522862,-1.2301,0.586666,-29.5089
0.193068,-1.97088,-0.523977,-1.22773,0.587615,-29.51
0.19459,-1.97132,-0.524884,-1.22561,0.588444,-29.5116
0.195952,-1.97181,-0.525562,-1.22389,0.589147,-29.5138
0.197199,-1.97231,-0.52594,-1.22265,0.589724,-29.5167
0.198374,-1.97276,-0.525987,-1.22191,0.590197,-29.5204
0.199549,-1.97312,-0.525587,-1.22165,0.590568,-29.5246
0.200793,-1.97336,-0.524684,-1.22177,0.590858,-29.5293
0.202182,-1.97342,-0.52321,-1.22215,0.591077,-29.5342
0.203795,-1.97328,-0.521126,-1.22266,0.591243,-29.5389
0.205678,-1.97292,-0.518461,-1.22317,0.591359,-29.5434
0.207885,-1.9723,-0.515247,-1.22357,0.591422,-29.5473
0.210429,-1.97144,-0.511563,-1.22374,0.591434,-29.5506
0.213292,-1.97032,-0.507543,-1.22362,0.591386,-29.5531
0.216438,-1.96896,-0.503352,-1.22314,0.591264,-29.5548
0.219797,-1.96738,-0.499197,-1.22229,0.591061,-29.5557
0.223268,-1.96562,-0.495299,-1.22107,0.590753,-29.5558
0.226741,-1.9637,-0.491903,-1.21953,0.590329,-29.5552
0.230104,-1.96168,-0.489224,-1.21771,0.589778,-29.5539
0.233232,-1.95957,-0.487474,-1.21569,0.589081,-29.5522
0.23602,-1.9574,-0.486804,-1.21354,0.588229,-29.5501
0.238397,-1.95523,-0.48728,-1.2113,0.587197,-29.5476
0.240299,-1.95308,-0.488937,-1.20901,0.585976,-29.5448
0.241687,-1.95102,-0.491736,-1.2067,0.584567,-29.5416
0.242545,-1.9491,-0.495589,-1.20438,0.582955,-29.538
0.24288,-1.94742,-0.500328,-1.20207,0.581163,-29.534
0.242709,-1.94604,-0.505799,-1.19977,0.579206,-29.5297
0.242057,-1.94506,-0.511777,-1.19752,0.577112,-29.525
0.240979,-1.94453,-0.518004,-1.19534,0.574907,-29.5202
0.239518,-1.94452,-0.524256,-1.19328,0.57264,-29.5152
0.237749,-1.94506,-0.530261,-1.19138,0.570331,-29.5104
0.235735,-1.94615,-0.535814,-1.18964,0.568025,-29.5057
0.233557,-1.94778,-0.540672,-1.1881,0.565742,-29.5012
0.2313,-1.94989,-0.544636,-1.18674,0.563494,-29.497
0.229047,-1.95241,-0.547531,-1.18558,0.561295,-29.4932
0.226865,-1.95526,-0.549243,-1.18461,0.559134,-29.4898
0.224814,-1.95832,-0.54974,-1.18384,0.557015,-29.4866
0.222932,-1.96148,-0.54905,-1.18326,0.554911,-29.4836
0.221233,-1.96465,-0.547301,-1.18287,0.552807,-29.4808
0.219714,-1.96771,-0.544661,-1.18268,0.55067,-29.4781
0.218345,-1.97058,-0.541363,-1.18271,0.548479,-29.4752
0.217086,-1.97321,-0.537657,-1.18296,0.546207,-29.4722
0.215887,-1.97554,-0.53378,-1.18346,0.543827,-29.4689
