L_X,L_Y,L_Z,R_X,R_Y,R_Z
1.06907,-3.08351,-13.085,2.54811,-1.22121,-29.5095
1.06943,-3.08351,-13.0851,2.54796,-1.22152,-29.5089
1.06958,-3.08352,-13.0853,2.54771,-1.22207,-29.5081
1.06953,-3.08354,-13.0857,2.54738,-1.22288,-29.5071
1.06928,-3.08357,-13.0862,2.54699,-1.22392,-29.5058
1.06883,-3.08362,-13.0869,2.54655,-1.22517,-29.5042
1.0682,-3.08369,-13.0877,2.54608,-1.2266,-29.5024
1.0674,-3.0838,-13.0884,2.54559,-1.22818,-29.5004
1.06644,-3.08397,-13.0892,2.5451,-1.22984,-29.4982
1.06535,-3.08421,-13.0899,2.54463,-1.23155,-29.496
1.06413,-3.08454,-13.0904,2.54417,-1.23323,-29.4937
1.06281,-3.08498,-13.0907,2.54375,-1.23483,-29.4916
1.06141,-3.08555,-13.0907,2.54337,-1.23628,-29.4897
1.05995,-3.08626,-13.0905,2.54305,-1.23752,-29.4882
1.05847,-3.08713,-13.0898,2.54281,-1.23848,-29.4871
1.05699,-3.08816,-13.0889,2.54266,-1.23912,-29.4867
1.05555,-3.08936,-13.0876,2.54261,-1.23939,-29.487
1.05417,-3.09074,-13.0859,2.54268,-1.23927,-29.488
1.05289,-3.09229,-13.084,2.54288,-1.23871,-29.49
1.05173,-3.09404,-13.0819,2.54321,-1.23773,-29.4929
1.05071,-3.09597,-13.0797,2.54369,-1.23634,-29.4966
1.04985,-3.09808,-13.0774,2.54431,-1.23458,-29.5012
1.04914,-3.10038,-13.0752,2.54507,-1.2325,-29.5066
1.04856,-3.10288,-13.0731,2.54597,-1.2302,-29.5125
1.0481,-3.10557,-13.0712,2.54699,-1.22776,-29.5189
1.04772,-3.10847,-13.0696,2.54809,-1.22533,-29.5254
1.04734,-3.1116,-13.0684,2.54922,-1.22304,-29.5319
1.04692,-3.11496,-13.0676,2.55031,-1.22103,-29.5381
1.04635,-3.11857,-13.0672,2.55128,-1.21947,-29.5438
1.04556,-3.12246,-13.067,2.55201,-1.21852,-29.5487
1.04445,-3.12665,-13.0671,2.55236,-1.21832,-29.5526
1.0429,-3.13119,-13.0672,2.55221,-1.21901,-29.5553
1.04082,-3.13611,-13.0672,2.55138,-1.22068,-29.5567
1.03811,-3.14145,-13.0668,2.54974,-1.2234,-29.5567
1.03469,-3.14726,-13.0658,2.54711,-1.22718,-29.5554
1.03049,-3.15356,-13.064,2.5434,-1.232,-29.5527
1.02547,-3.16039,-13.061,2.53848,-1.23776,-29.5489
1.01962,-3.16771,-13.0567,2.53232,-1.24431,-29.5442
1.013,-3.17551,-13.051,2.52492,-1.25146,-29.5388
1.00568,-3.18371,-13.0439,2.51637,-1.25894,-29.5333
0.99781,-3.19218,-13.0354,2.50684,-1.26644,-29.5281
0.989585,-3.20078,-13.0256,2.49659,-1.27362,-29.5236
0.981267,-3.2093,-13.0149,2.48595,-1.28011,-29.5203
0.973145,-3.21751,-13.0035,2.47538,-1.28552,-29.5185
0.965567,-3.22516,-12.9919,2.46535,-1.28949,-29.5188
0.958896,-3.23197,-12.9804,2.45642,-1.29166,-29.5211
0.953499,-3.23767,-12.9695,2.44915,-1.29173,-29.5256
0.949728,-3.24203,-12.9595,2.44408,-1.28945,-29.5323
0.947913,-3.24481,-12.9507,2.44171,-1.28464,-29.5407
0.948319,-3.24585,-12.9434,2.44245,-1.27721,-29.5506
0.951155,-3.245,-12.9377,2.44664,-1.26714,-29.5614
0.956547,-3.24222,-12.9337,2.45445,-1.25454,-29.5724
0.964531,-3.23749,-12.9314,2.46596,-1.23959,-29.5829
0.975048,-3.23086,-12.9307,2.48109,-1.22255,-29.5924
0.987958,-3.22246,-12.9314,2.4996,-1.20378,-29.6001
1.00302,-3.21245,-12.9333,2.52117,-1.18367,-29.6056
1.01994,-3.20105,-12.9362,2.54533,-1.16267,-29.6083
1.03831,-3.18853,-12.9398,2.57153,-1.14125,-29.6078
1.05774,-3.17517,-12.9439,2.59916,-1.1199,-29.6041
1.07776,-3.16126,-12.9483,2.62759,-1.09907,-29.597
1.0979,-3.14713,-12.9526,2.65616,-1.0792,-29.5867
1.1177,-3.1331,-12.9568,2.68423,-1.06068,-29.5733
1.13672,-3.11947,-12.9605,2.71121,-1.04386,-29.5571
1.15455,-3.10652,-12.9637,2.73654,-1.02901,-29.5386
1.17085,-3.09451,-12.9662,2.75978,-1.01635,-29.5181
1.18533,-3.08364,-12.9679,2.78053,-1.00601,-29.4961
1.19778,-3.0741,-12.9687,2.79853,-0.998083,-29.4732
1.20807,-3.066,-12.9686,2.81358,-0.992559,-29.4498
1.21613,-3.05942,-12.9674,2.8256,-0.989386,-29.4263
1.22199,-3.05437,-12.9654,2.8346,-0.988433,-29.4032
1.22574,-3.05084,-12.9626,2.84067,-0.989531,-29.3809
1.22751,-3.04876,-12.959,2.84398,-0.992463,-29.3598
1.22751,-3.04804,-12.955,2.84476,-0.996973,-29.3402
