L_X,L_Y,L_Z,R_X,R_Y,R_Z
4.74972,-3.94771,-2.44939,4.68732,-8.48693,-28.3433
4.75438,-3.9878,-2.44617,4.61939,-8.48395,-28.2785
4.76004,-4.03472,-2.42191,4.54379,-8.48347,-28.1891
4.76556,-4.08781,-2.37657,4.46033,-8.48489,-28.0805
4.77036,-4.1463,-2.31107,4.3692,-8.48775,-27.958
4.77456,-4.20922,-2.22708,4.27098,-8.49172,-27.8265
4.77897,-4.27537,-2.12678,4.16653,-8.49655,-27.6904
4.78477,-4.34346,-2.01301,4.05695,-8.502,-27.5533
4.7932,-4.41218,-1.88911,3.94341,-8.50781,-27.4187
4.80508,-4.48039,-1.75906,3.82708,-8.51368,-27.2895
4.82056,-4.54723,-1.62727,3.70891,-8.51918,-27.1684
4.83889,-4.6122,-1.49831,3.58956,-8.52383,-27.0583
4.85829,-4.67515,-1.37676,3.46935,-8.52709,-26.9621
4.87609,-4.73618,-1.26694,3.34827,-8.52835,-26.8822
4.88907,-4.79561,-1.17283,3.22608,-8.52708,-26.8206
4.89384,-4.85382,-1.09798,3.10253,-8.52279,-26.7782
4.88734,-4.91126,-1.0453,2.97761,-8.51521,-26.7542
4.86711,-4.96837,-1.01703,2.85176,-8.50435,-26.746
4.83174,-5.02557,-1.0145,2.72611,-8.49052,-26.7488
4.78117,-5.08317,-1.03803,2.60244,-8.47436,-26.7567
4.71678,-5.14139,-1.08674,2.48316,-8.45674,-26.7621
4.64138,-5.20031,-1.15836,2.37111,-8.43867,-26.7577
4.55898,-5.25977,-1.24947,2.26921,-8.42116,-26.7365
4.47429,-5.31942,-1.35577,2.18016,-8.40509,-26.6933
4.39222,-5.37878,-1.47216,2.10607,-8.39114,-26.6249
4.31739,-5.43724,-1.5929,2.04829,-8.37978,-26.5305
4.25393,-5.49413,-1.71158,2.00731,-8.37131,-26.4116
4.20525,-5.54872,-1.82112,1.98273,-8.36591,-26.2719
4.17408,-5.60029,-1.91402,1.97335,-8.36365,-26.1167
4.16235,-5.64824,-1.98323,1.97731,-8.36452,-25.9523
4.17115,-5.69214,-2.02323,1.99227,-8.36837,-25.7855
4.20069,-5.73176,-2.03082,2.0156,-8.37501,-25.623
4.25035,-5.76715,-2.00524,2.04459,-8.38404,-25.4708
4.31875,-5.79864,-1.94817,2.07663,-8.39504,-25.3341
4.40396,-5.82677,-1.86304,2.10936,-8.40746,-25.2163
4.50367,-5.85228,-1.75459,2.14085,-8.42068,-25.1196
4.61549,-5.87599,-1.62828,2.16969,-8.43414,-25.0441
4.73721,-5.89862,-1.48998,2.19511,-8.44733,-24.9883
4.86697,-5.92071,-1.34576,2.21705,-8.45989,-24.9492
5.00314,-5.94259,-1.20176,2.23609,-8.47165,-24.9222
5.14423,-5.96443,-1.06385,2.25342,-8.48258,-24.9017
5.28876,-5.98631,-0.937311,2.27067,-8.49274,-24.8819
5.43542,-6.00834,-0.82649,2.28966,-8.50218,-24.8568
5.58323,-6.03066,-0.734496,2.31218,-8.51088,-24.8214
5.73183,-6.05351,-0.662945,2.33981,-8.5188,-24.7721
5.88166,-6.07724,-0.61171,2.37369,-8.52582,-24.707
6.03395,-6.10236,-0.578868,2.41438,-8.53177,-24.6265
6.19081,-6.12949,-0.560713,2.46175,-8.53646,-24.5329
6.35497,-6.15929,-0.552159,2.51504,-8.53964,-24.4305
6.52961,-6.19237,-0.547024,2.57284,-8.54113,-24.3251
6.71776,-6.22901,-0.538801,2.63329,-8.54077,-24.2235
6.92186,-6.26904,-0.521113,2.69422,-8.53857,-24.1323
7.1431,-6.31165,-0.488497,2.75329,-8.53457,-24.0583
7.38098,-6.35534,-0.437047,2.80809,-8.5289,-24.0072
7.63295,-6.39797,-0.364893,2.85637,-8.52173,-23.9834
7.89433,-6.43694,-0.272487,2.89606,-8.51308,-23.9899
8.15839,-6.46944,-0.162556,2.92545,-8.50295,-24.0279
8.41671,-6.4927,-0.0397382,2.94332,-8.49124,-24.0968
8.65981,-6.50423,0.0898551,2.94903,-8.47787,-24.1946
8.87787,-6.50203,0.21922,2.94268,-8.46286,-24.3179
9.06144,-6.48486,0.340964,2.92508,-8.44631,-24.4619
9.20218,-6.45248,0.447778,2.89774,-8.42843,-24.6212
9.29331,-6.4059,0.533103,2.8628,-8.40953,-24.7899
9.33014,-6.34739,0.591996,2.82284,-8.39003,-24.9619
9.31044,-6.2804,0.621909,2.78082,-8.37041,-25.1314
9.23491,-6.20921,0.623015,2.73985,-8.35126,-25.2931
9.10736,-6.13856,0.597829,2.70309,-8.33318,-25.4423
8.93471,-6.07323,0.550257,2.67352,-8.31676,-25.5752
8.72646,-6.01756,0.484275,2.65385,-8.3025,-25.6888
8.49392,-5.97505,0.402607,2.64641,-8.29079,-25.7809
8.2491,-5.948,0.305906,2.6531,-8.28187,-25.8504
8.00376,-5.93739,0.192277,2.6753,-8.27589,-25.8967
7.76836,-5.94278,0.0574594,2.71385,-8.27279,-25.92
7.55144,-5.96242,-0.104398,2.76902,-8.27239,-25.9212
7.35928,-5.99349,-0.299448,2.84054,-8.27442,-25.9015
7.19584,-6.03238,-0.532408,2.92756,-8.2785,-25.8632
7.0631,-6.07503,-0.805089,3.02872,-8.28429,-25.8088
6.96148,-6.11727,-1.11502,3.14216,-8.29139,-25.7418
6.89034,-6.15507,-1.45501,3.26554,-8.29948,-25.6661
6.84852,-6.18484,-1.81338,3.39608,-8.30817,-25.5864
6.83471,-6.20364,-2.17493,3.53061,-8.31704,-25.5076
6.8478,-6.20938,-2.5226,3.66569,-8.32559,-25.435
6.88715,-6.20096,-2.83923,3.79768,-8.33315,-25.3738
6.95264,-6.1782,-3.10932,3.92294,-8.33898,-25.3284
7.04455,-6.1418,-3.3203,4.03801,-8.34225,-25.3026
7.16326,-6.09307,-3.46356,4.13977,-8.34214,-25.2992
7.30869,-6.03374,-3.53479,4.22571,-8.33791,-25.3192
7.47971,-5.96571,-3.53423,4.29402,-8.32906,-25.3621
7.67358,-5.89098,-3.46625,4.34387,-8.31536,-25.4257
7.88554,-5.81168,-3.33891,4.37543,-8.29694,-25.5059
8.10879,-5.73022,-3.16313,4.38992,-8.27431,-25.5971
8.33487,-5.64955,-2.95177,4.38954,-8.24826,-25.6923
8.55452,-5.57325,-2.71856,4.3773,-8.21981,-25.7843
8.75874,-5.50558,-2.47702,4.35664,-8.19007,-25.866
8.93995,-5.45126,-2.23935,4.33116,-8.16008,-25.9312
9.09276,-5.41507,-2.01547,4.30426,-8.13075,-25.9752
9.21437,-5.40125,-1.81215,4.2788,-8.10284,-25.9954
9.30454,-5.41292,-1.6325,4.25692,-8.07692,-25.9912
9.36517,-5.45142,-1.47586,4.23996,-8.05349,-25.9637
9.39958,-5.51584,-1.33826,4.22851,-8.03299,-25.9157
9.41161,-5.60283,-1.21376,4.22249,-8.01593,-25.8507
9.40476,-5.70665,-1.09626,4.22137,-8.00289,-25.7728
9.38125,-5.81956,-0.981491,4.22431,-7.9946,-25.6857
9.34134,-5.93241,-0.868739,4.23032,-7.99186,-25.593
9.28287,-6.03538,-0.76204,4.23831,-7.99544,-25.4976
9.20117,-6.11895,-0.670438,4.24713,-8.00605,-25.4019
9.08945,-6.17472,-0.607508,4.25553,-8.02415,-25.308
8.93955,-6.19641,-0.590148,4.26213,-8.04983,-25.2179
8.74308,-6.18063,-0.636546,4.26534,-8.08275,-25.1338
8.49278,-6.12742,-0.763647,4.26339,-8.12205,-25.0581
8.18398,-6.04053,-0.984135,4.25444,-8.16639,-24.9934
7.81589,-5.92719,-1.30359,4.23669,-8.21409,-24.9422
7.39262,-5.79738,-1.71827,4.20858,-8.26321,-24.9064
6.92357,-5.66256,-2.21383,4.16898,-8.31176,-24.8875
6.42321,-5.53415,-2.7655,4.11729,-8.35792,-24.8856
5.90998,-5.42197,-3.33976,4.05356,-8.40014,-24.8997
5.40453,-5.33296,-3.89777,3.97846,-8.43733,-24.9278
4.92753,-5.27063,-4.39963,3.89328,-8.46887,-24.9668
4.49729,-5.2352,-4.80947,3.79973,-8.49461,-25.0129
4.12767,-5.22424,-5.10016,3.6998,-8.51479,-25.062
3.82666,-5.23374,-5.25653,3.59552,-8.52986,-25.1097
3.59577,-5.259,-5.27703,3.48874,-8.54036,-25.1522
3.43038,-5.29541,-5.17358,3.38096,-8.54675,-25.186
3.3208,-5.33873,-4.9691,3.27321,-8.54937,-25.2086
3.25405,-5.38508,-4.69402,3.16606,-8.54845,-25.2187
3.21572,-5.43093,-4.38195,3.05967,-8.54408,-25.2159
3.19188,-5.47302,-4.06548,2.95397,-8.53634,-25.2008
3.17046,-5.50846,-3.7726,2.84882,-8.52545,-25.1745
3.14219,-5.53488,-3.5243,2.74422,-8.51183,-25.1383
3.10101,-5.55073,-3.33343,2.64039,-8.49618,-25.0937
3.04403,-5.55537,-3.20469,2.53784,-8.47941,-25.0419
2.9711,-5.54915,-3.13573,2.43734,-8.46264,-24.9841
2.88434,-5.53331,-3.11879,2.33987,-8.4471,-24.9211
2.78738,-5.50973,-3.14283,2.24657,-8.43402,-24.8534
2.68471,-5.48066,-3.19543,2.15858,-8.4246,-24.7817
2.58096,-5.44839,-3.26467,2.07695,-8.41985,-24.7063
2.48023,-5.41498,-3.34032,2.00249,-8.42047,-24.6277
2.38555,-5.38205,-3.41489,1.93576,-8.42687,-24.5464
2.29853,-5.35065,-3.48378,1.87704,-8.43915,-24.4632
2.21929,-5.32131,-3.54521,1.82632,-8.45708,-24.379
2.14662,-5.29405,-3.59948,1.78335,-8.48019,-24.2946
2.07847,-5.26862,-3.64806,1.74766,-8.50776,-24.2111
2.0125,-5.24456,-3.69272,1.71867,-8.53892,-24.1293
1.94681,-5.2215,-3.73456,1.69568,-8.57269,-24.05
1.88043,-5.1992,-3.77352,1.67797,-8.60805,-23.9736
1.81372,-5.17765,-3.80812,1.66484,-8.64398,-23.9003
1.74832,-5.1571,-3.83568,1.65562,-8.67953,-23.8302
1.68698,-5.13804,-3.85284,1.64972,-8.71383,-23.763
1.63307,-5.12104,-3.85632,1.64658,-8.74611,-23.6982
1.5901,-5.10679,-3.84348,1.64573,-8.77569,-23.6353
1.56113,-5.09591,-3.8129,1.64667,-8.80203,-23.574
1.54826,-5.08889,-3.76481,1.64893,-8.8247,-23.5137
1.55233,-5.08604,-3.70106,1.65196,-8.84338,-23.4546
1.57276,-5.08742,-3.62504,1.6552,-8.8579,-23.3966
1.60757,-5.09289,-3.54134,1.65804,-8.86818,-23.3404
1.65372,-5.10213,-3.455,1.6599,-8.87429,-23.2864
1.7075,-5.11473,-3.37084,1.6602,-8.87642,-23.2356
1.76502,-5.13022,-3.29289,1.65846,-8.87484,-23.1885
